class_id,object_count,black,blue,brown,gray,green,orange,pink,purple,red,white,yellow
/m/011k07,2206060,40068,2841,6656,336,20228,82,234,0,5132,3924,3876
/m/01205h,4767147,2489,109,3150,314,3690,0,0,0,5926,9752,2109
/m/0120dh,3532577,4645,0,368,0,342792,0,0,0,304,456,0
/m/01226z,41995443,46696,8376,19824,3838,13168,3469,2144,844,14082,26684,4224
/m/012n7d,3991567,4396,1560,196,1533,2060,708,0,0,4148,25145,3622
/m/012w5l,3694366,11364,2348,478,478,5716,556,174,178,23232,16139,3504
/m/012xff,284908,1764,5920,321,640,3996,560,13305,1442,5841,1932,2644
/m/0130jx,14459374,5262,6958,17749,3187,7509,975,3830,558,4799,32341,3366
/m/0138tl,10244429,11651,9892,3333,1188,9939,1510,7246,2528,23445,22802,9590
/m/01432t,377770,0,0,0,0,0,0,0,0,0,0,0
/m/014j1m,30835840,31925,22227,82624,5303,978011,30026,21538,6153,965885,116638,114337
/m/014sv8,6129649,0,2112,1376,0,440,0,0,0,0,0,0
/m/014trl,6520306,13451,1172,2952,1506,2872,94,1408,94,4544,8315,2136
/m/014y4n,14697506,5092,3165,648,288,2449,1009,652,0,8644,6380,3534
/m/0152hh,431081,5324,1030,0,308,220,0,276,0,440,2908,208
/m/01599,15969136,77382,4844,52822,324,52409,3701,756,572,21174,71176,8168
/m/015qbp,1771628,0,0,0,0,0,0,0,0,0,0,0
/m/015qff,4300518,0,0,0,0,87548,1912,0,0,140183,0,24108
/m/015w7p,1346563,1336,560,1608,480,8245,2929,1084,11416,2576,18394,1614
/m/015wgc,202286,0,0,488,0,0,0,0,0,0,0,0
/m/015x4r,2383028,1696,644,1152,0,65351,1210,540,0,1512,8969,11405
/m/015x5n,1990232,0,0,0,0,0,0,0,0,0,0,0
/m/0162_1,5827056,14494,67278,14592,6886,38006,8720,40032,8536,31823,430914,29481
/m/0163q8,465324,208,236,0,0,288,440,111948,0,1892,0,0
/m/01645p,1154972,1488,821,264,0,9735,1788,0,164,232,0,176
/m/0167gd,6890895,128219,10470,20038,921,4472,416,11981,696,8588,116531,8702
/m/016m2d,4059029,142830,8602,9394,5188,10062,1124,8880,3339,67682,119157,21720
/m/016rh7,0,0,0,0,0,0,0,0,0,0,0,0
/m/0174k2,4139879,368,0,0,0,632,0,0,0,0,4128,0
/m/0174n1,35526735,439876,34071,44287,49815,44856,8160,19308,18670,75783,1470972,133056
/m/0176mf,22366050,2435200,73742,134645,11871,2012446,122962,8105,20534,184193,243307,61526
/m/017ftj,375993,79536,11869,2966,1120,9145,2137,8725,4979,6868,7521,6219
/m/018xm,34374614,1165101,475219,58864,37862,268288,156393,56210,29471,1488119,1039837,228809
/m/01940j,422391,31921,21722,2425,2497,16938,6442,14109,7927,18976,1206,5828
/m/0199g,5303566,20150,24722,536,988,18149,2751,10422,2804,43857,21436,9400
/m/019h78,285751,6608,832,2548,180,2132,822,186,220,3108,1812,1648
/m/019jd,21580483,97956,66773,13691,12446,61173,11040,3792,2624,73406,153358,28018
/m/019jw,49709660,850729,712642,50333,4586,78437,13155,17725,85522,17147258,7546346,34298
/m/019w40,90915,266,944,0,0,452,693,590,0,900,1182,1798
/m/01_5g,110961,1952,960,0,0,212,0,0,0,2672,272,0
/m/01b5dy,4671399,103776,26852,9404,10586,286095,812,6662,14205,33342,269331,17746
/m/01b638,9237797,973717,32555,208781,8678,30953,4484,19296,15768,159908,125970,100337
/m/01b7fy,2425887,3040,832,270,0,720,573,940,296,1600,4414,1236
/m/01b92,25119711,87324,12704,21384,13378,136167,628,4024,720,319160,479394,72754
/m/01b9xk,5026150,368,0,788,376,1524,0,1272,0,2250,1708,664
/m/01bfm9,74651283,182791,187781,99035,142481,76783,17420,50664,13880,146671,438593,47551
/m/01bhhn,213899,0,0,0,0,0,0,0,0,0,0,0
/m/01bjv,26443376,39824,103633,8778,14608,92998,15664,4796,3886,139410,106570,150299
/m/01bms0,310568,0,0,0,0,236,0,0,0,548,0,636
/m/01bqk0,416070,0,0,0,0,0,0,0,0,0,0,0
/m/01bqvp,12426915,898545,12927407,18703,961545,159305,99221,96732,199065,542602,297073,223153
/m/01c648,482695,7548,784,0,1096,490,286,2236,250,722,2242,0
/m/01cbb3,4865963,3509,588,1130,0,17117,3357,1112,3732,386772,53379,18420
/m/01cbzq,89175417,3990433,565957,314806,657095,324734,26710,76959,60608,3177921,2619811,161807
/m/01cmb2,21130,30318,5038,670,626,3957,1438,5566,2369,10552,7964,2092
/m/01d380,23837768,12343,22851,9418,5710,6512,0,284,0,1598,101697,880
/m/01d40f,16202876,2887239,1705963,278275,241914,784388,68254,654841,204580,1336861,3078746,495092
/m/01dws,87771280,4225543,66427,1955477,35313,39031,12483,28802,10188,145506,1732995,89305
/m/01dwsz,1120798,976,848,4576,454,368,1058,404,253,448,3184,368
/m/01dwwc,5525715,5149,1601,9627,700,2829,4400,1415,634,919,9041,2614
/m/01dxs,1955477,0,0,0,0,0,0,0,0,0,0,0
/m/01dy8n,1738084,74988,552,4160,1316,192432,0,0,368,8698,11064,3632
/m/01f8m5,2093623,0,0,0,0,0,0,0,0,0,0,0
/m/01f91_,1356700,0,0,410,0,0,0,0,0,0,168,0
/m/01fb_0,405247,0,0,330,0,1954,0,0,0,0,1830,0
