class_id,red,orange,yellow,green,blue,purple,pink,white,black,gray,brown,object_count
/m/0k5j,0,0,0,0,0,0,0,0,0,0,0,212
/m/0cmf2,0,0,0,0,0,0,0,0,1,0,0,876
/m/046dlr,0,0,0,0,0,0,0,0,0,0,0,23
/m/012n7d,0,0,0,0,0,0,0,0,0,0,0,20
/m/0_k2,0,0,0,0,0,0,0,0,0,0,0,3
/m/047v4b,0,0,0,0,0,0,0,0,0,0,0,9
/m/014j1m,2,0,2,9,0,0,0,0,0,0,2,666
/m/0fnfy,0,0,0,0,0,0,0,0,0,0,0,2
/m/02g7g2,0,0,0,0,0,0,0,0,0,0,0,5
/m/08dz3q,0,0,0,0,0,0,0,0,0,0,0,0
/m/01645p,0,0,0,0,0,0,0,0,0,0,0,25
/m/0c2jj,0,0,0,0,0,0,0,0,0,0,0,0
/m/01940j,3,0,0,2,4,0,0,0,4,0,0,270
/m/01fb_0,0,0,0,0,0,0,0,0,0,0,0,37
/m/052lwg6,0,0,0,0,0,0,0,0,0,0,0,10
/m/018xm,8,1,9,7,3,0,2,2,1,1,0,2075
/m/01j51,2,1,1,2,3,0,0,2,0,0,0,127
/m/09qw8,0,0,0,0,0,0,0,0,0,0,0,18
/m/09qck,0,0,4,17,0,0,0,0,0,0,0,1528
/m/0j496,0,0,0,0,0,0,0,0,0,0,0,2
/m/02zn6n,2,3,0,1,5,0,0,0,0,0,0,49
/m/03g8mr,0,0,0,0,0,0,0,0,0,0,0,60
/m/03grzl,0,0,0,0,0,0,0,0,0,0,0,20
/m/0frqg3,0,0,0,0,0,0,0,0,0,0,0,51
/m/01fp9,0,0,0,10,0,0,0,0,1,0,0,39
/m/01dws,0,2,1,3,5,1,9,11,16,0,0,3132
/m/03ssj5,0,0,0,0,0,1,0,0,0,0,0,2415
/m/01h3n,0,0,0,0,0,0,0,0,0,0,0,9
/m/01gllr,0,0,0,0,0,0,0,0,0,0,0,0
/m/01599,0,0,0,0,0,0,0,0,0,0,0,271
/m/01cbb3,0,0,0,0,0,0,0,0,0,0,0,7
/m/020jm,0,0,0,0,0,0,0,0,0,0,0,3
/m/0jg57,0,0,0,0,0,0,0,0,0,0,0,6
/m/0176mf,0,0,0,0,0,0,0,0,0,0,4,125
/m/0cvnqh,4,0,0,1,2,0,0,5,0,0,0,2042
/m/0199g,1,0,0,0,2,0,0,0,0,0,0,469
/m/03p3bw,0,0,0,0,0,0,0,0,0,0,0,0
/m/01bqk0,0,0,0,0,0,0,0,0,0,0,0,0
/m/01knjb,0,2,0,0,0,0,0,0,1,0,0,46
/m/04p0qw,0,0,0,0,0,0,0,0,0,0,0,0
/m/0lt4_,0,0,0,0,0,0,0,0,0,0,0,2
/m/019jw,0,0,0,0,0,0,0,0,0,0,0,12
/m/01f8m5,0,0,0,0,0,0,0,0,0,0,0,0
/m/0ftbs,0,0,0,0,0,0,0,0,0,0,0,24
/m/019jd,11,3,4,0,5,0,0,11,0,0,0,2925
/m/0ct4f,0,0,0,0,0,0,0,0,0,0,0,5
/m/01b92,0,0,0,2,0,0,0,0,0,0,0,18
/m/0bt_c3,4,0,0,4,2,4,0,3,4,0,0,812
/m/03__z0,0,0,0,0,0,0,0,0,0,0,0,30
/m/01b638,0,0,0,0,0,0,0,0,3,0,0,217
/m/04f5ws,0,0,0,0,0,0,0,0,0,0,0,0
/m/04kkgm,2,2,6,1,14,0,0,26,2,0,0,1536
/m/025dyy,3,0,18,10,13,3,0,16,8,2,3,712
/m/09728,0,0,0,0,0,0,0,4,0,0,1,491
/m/0584n8,0,0,1,0,0,0,0,0,1,0,0,33
/m/0hkxq,0,0,0,0,0,0,0,0,0,0,0,310
/m/01yx86,0,0,0,0,0,0,0,0,0,0,0,1
/m/01dxs,0,0,0,0,0,0,0,0,0,0,0,19
/m/0cgh4,9,9,13,10,11,0,6,16,2,8,10,3458
/m/0cnyhnx,2,0,0,0,0,0,0,0,0,0,0,91
/m/01j3zr,0,0,0,0,0,0,0,0,0,0,0,8
/m/01bjv,42,2,22,25,20,2,1,11,1,0,0,6195
/m/04yqq2,0,0,0,0,0,0,0,0,0,0,0,6
/m/0chyh,0,0,0,0,0,0,0,0,0,0,0,41
/m/0cyf8,1,0,0,0,0,0,0,0,0,0,0,21
/m/0fbw6,0,0,0,1,0,0,0,0,0,0,0,10
/m/0fszt,0,0,2,0,2,0,0,0,0,0,0,2274
/m/0h8n6ft,0,0,0,0,0,0,0,0,0,0,0,0
/m/024d2,0,0,0,0,0,0,0,0,0,0,0,14
/m/01x_v,0,0,0,0,0,0,0,0,0,0,0,11
/m/0dv5r,0,0,0,0,0,0,0,0,0,0,0,1542
/m/02mqfb,0,0,0,0,0,0,0,0,0,0,0,0
/m/0ccs93,0,0,0,0,0,0,0,0,0,0,0,4
/m/0c06p,4,0,4,0,2,0,2,0,0,0,0,517
/m/0gm28,0,0,0,0,0,0,0,0,0,0,0,63
/m/020kz,0,0,0,0,0,0,0,0,0,0,0,2
/m/0ph39,0,0,3,0,1,0,0,0,0,0,0,36
/m/0kpt_,0,0,0,0,0,0,0,0,0,0,0,4
/m/0k4j,83,0,19,3,30,0,3,59,31,7,1,4082
/m/0fj52s,0,1,0,0,0,0,0,0,0,0,0,362
/m/01432t,0,0,0,0,0,0,0,0,0,0,0,0
/m/0d5gx,0,0,0,0,0,0,0,0,0,0,0,31
/m/01yrx,0,0,1,0,0,0,0,7,18,2,2,7156
/m/0cydv,0,0,1,0,0,0,0,0,0,0,0,1
/m/01xq0k1,0,0,0,0,0,0,0,2,0,0,0,86
/m/015w7p,0,0,0,0,0,2,0,0,0,0,0,26
/m/03ldnb,0,0,0,0,0,0,0,0,0,0,0,57
/m/019h78,0,0,0,0,0,0,0,0,0,0,0,0
/m/01j4z9,0,0,0,0,0,0,0,0,0,0,0,0
/m/01mzpv,18,0,5,8,16,1,4,10,2,0,4,2078
/m/01nkt,0,0,2,0,0,0,0,4,0,0,0,422
/m/0cd4d,0,0,0,0,0,0,0,0,0,0,0,0
/m/0f8sw,0,0,0,0,0,0,0,0,0,0,0,25
/m/09b5t,0,0,0,0,0,0,0,0,0,0,2,130
/m/0f8s22,0,0,0,0,0,0,0,0,0,0,0,1
/m/0_dqb,0,0,0,0,0,0,0,0,0,0,0,0
/m/020vl,0,0,0,0,0,0,0,2,0,0,0,180
/m/01_5g,0,0,0,0,0,0,0,0,0,0,0,58
/m/025nd,0,0,0,0,0,0,0,0,0,0,0,49
/m/01x3z,0,0,2,0,2,0,0,0,0,0,0,3357
/m/0csby,0,0,0,0,0,0,0,8,0,6,0,1373
/m/01sy7,0,0,0,0,0,0,0,0,0,0,0,6
/m/01xygc,21,1,4,4,4,0,8,5,4,0,1,448
/m/024g6,0,0,0,0,0,0,0,0,0,0,0,4
/m/0440zs,0,0,0,0,0,0,0,0,0,0,0,0
